Party_birth,CountryCode,COP1,COP2,COP3,COP4,COP5,COP6,COP7,COP8,COP9,COP10,COP11,COP12,COP13,COP14
1995-01-26Ê,SMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-12-28Ê,STP,NA,NA,NA,NA,0,1,1,1,1,3,1,0,0,2
2002-01-01Ê,SAU,NA,NA,NA,NA,NA,10,14,19,12,12,15,20,7,11
1995-01-15Ê,SEN,3,2,1,1,1,3,7,10,9,13,7,7,7,6
2002-05-30Ê,SRB,NA,NA,NA,NA,NA,6,1,0,4,4,3,1,0,2
1993-12-29Ê,SYC,2,3,1,2,1,2,3,1,3,1,4,2,3,7
1995-03-12Ê,SLE,NA,0,1,0,0,1,0,4,2,0,3,2,1,1
1996-03-20Ê,SGP,NA,NA,2,1,1,3,5,3,14,17,3,4,2,2
1994-11-23Ê,SVK,2,3,4,40,2,4,2,1,3,0,4,5,46,7
1996-10-07Ê,SVN,NA,NA,0,8,7,9,2,8,23,4,1,1,3,3
1996-01-01Ê,SLB,NA,1,0,0,2,2,3,2,1,2,2,1,1,1
2009-12-10Ê,SOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,1,2
1996-01-31Ê,ZAF,NA,9,6,8,10,11,25,21,21,48,53,47,55,54
2014-05-18Ê,SSD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1
1994-03-21Ê,ESP,13,20,13,13,8,48,10,18,23,17,11,7,11,16
1994-06-21Ê,LKA,2,4,2,3,4,7,6,0,3,4,9,2,2,2
2015-04-02Ê,PSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5
1996-01-28Ê,SDN,NA,2,1,4,1,6,2,4,4,6,6,5,1,2
1996-04-11Ê,SUR,NA,NA,1,0,1,1,2,4,3,3,0,0,2,1
1994-03-16Ê,SWE,7,7,9,10,13,21,27,20,25,33,24,20,21,20
1995-02-19Ê,CHE,5,13,7,12,12,14,11,11,21,22,20,14,14,14
1996-04-03Ê,SYR,NA,NA,2,2,0,5,2,1,2,1,1,1,1,1
1998-01-27Ê,TJK,NA,NA,NA,1,1,2,2,2,2,1,3,2,2,4
1996-06-06Ê,TZA,NA,NA,3,3,8,7,7,3,10,15,14,20,4,12
2004-01-29Ê,THA,NA,NA,NA,NA,NA,NA,35,17,26,47,37,56,34,42
2007-01-08Ê,TMP,NA,NA,NA,NA,NA,NA,NA,NA,9,2,4,10,6,0
1996-01-02Ê,TGO,NA,2,3,2,2,2,2,1,3,3,4,3,1,1
1998-08-17Ê,TON,NA,NA,NA,NA,1,1,1,2,1,1,1,1,2,4
1996-10-30Ê,TTO,NA,NA,1,1,1,2,1,2,2,1,1,0,0,1
1993-12-29Ê,TUN,2,3,3,1,1,4,2,3,7,6,4,1,1,1
1997-05-15Ê,TUR,NA,NA,NA,12,11,7,7,2,7,14,8,11,10,12
1996-12-17Ê,TKM,NA,NA,NA,0,1,2,0,1,2,1,0,0,1,1
2003-03-20Ê,TUV,NA,NA,NA,NA,NA,NA,1,3,1,2,1,3,2,3
1993-12-29Ê,UGA,6,3,1,3,18,2,6,6,6,11,7,15,18,22
1995-05-08Ê,UKR,NA,2,2,2,0,7,3,1,4,4,0,0,1,1
2000-05-10Ê,ARE,NA,NA,NA,NA,0,0,5,3,0,2,2,3,5,10
1994-09-01Ê,GBR,10,12,13,19,19,22,22,26,24,22,30,17,14,16
1994-02-03Ê,URY,0,1,12,5,2,3,1,17,5,4,3,6,4,4
1995-10-17Ê,UZB,NA,1,0,2,0,3,0,1,0,0,0,4,0,0
1993-12-29Ê,VUT,0,1,1,0,1,0,1,0,1,1,0,3,0,0
1994-12-12Ê,VEN,0,2,7,2,4,8,4,7,11,3,2,2,3,3
1995-02-14Ê,VNM,0,2,1,6,1,3,3,7,8,11,5,8,9,9
1996-05-21Ê,YEM,NA,NA,0,2,0,3,3,2,3,7,3,2,1,2
1993-12-29Ê,ZMB,0,1,2,1,3,1,3,8,6,10,13,11,16,6
1995-02-09Ê,ZWE,3,3,3,2,5,1,1,3,2,7,4,2,6,11
