CountryCode,Conference,Year,Delegates
NLD,COP11,2005,33
NZL,COP11,2005,29
NIC,COP11,2005,4
NER,COP11,2005,5
NGA,COP11,2005,12
NOR,COP11,2005,30
OMN,COP11,2005,2
PAK,COP11,2005,7
PLW,COP11,2005,2
PAN,COP11,2005,46
PNG,COP11,2005,15
PRY,COP11,2005,14
PER,COP11,2005,18
PHL,COP11,2005,17
POL,COP11,2005,17
PRT,COP11,2005,16
QAT,COP11,2005,5
KOR,COP11,2005,86
MDA,COP11,2005,2
ROM,COP11,2005,9
RUS,COP11,2005,56
RWA,COP11,2005,5
KNA,COP11,2005,2
LCA,COP11,2005,2
VCT,COP11,2005,1
WSM,COP11,2005,7
SMR,COP11,2005,0
STP,COP11,2005,4
SAU,COP11,2005,19
SEN,COP11,2005,22
SCG,COP11,2005,7
SYC,COP11,2005,2
SLE,COP11,2005,5
SGP,COP11,2005,12
SVK,COP11,2005,5
SVN,COP11,2005,6
SLB,COP11,2005,4
SOM,COP11,2005,0
ZAF,COP11,2005,53
ESP,COP11,2005,50
LKA,COP11,2005,5
SDN,COP11,2005,12
SUR,COP11,2005,0
SWZ,COP11,2005,1
SWE,COP11,2005,38
CHE,COP11,2005,16
SYR,COP11,2005,4
TJK,COP11,2005,3
THA,COP11,2005,27
TMP,COP11,2005,0
TGO,COP11,2005,5
TON,COP11,2005,0
TTO,COP11,2005,3
TUN,COP11,2005,14
TUR,COP11,2005,23
TKM,COP11,2005,1
TUV,COP11,2005,3
UGA,COP11,2005,10
UKR,COP11,2005,12
ARE,COP11,2005,13
GBR,COP11,2005,52
TZA,COP11,2005,16
USA,COP11,2005,76
URY,COP11,2005,5
UZB,COP11,2005,1
VUT,COP11,2005,1
VEN,COP11,2005,14
VNM,COP11,2005,3
YEM,COP11,2005,4
ZMB,COP11,2005,7
ZWE,COP11,2005,2
AFG,COP12,2006,0
ALB,COP12,2006,2
DZA,COP12,2006,7
AGO,COP12,2006,5
ATG,COP12,2006,3
ARG,COP12,2006,12
ARM,COP12,2006,2
AUS,COP12,2006,22
AUT,COP12,2006,20
AZE,COP12,2006,2
BHS,COP12,2006,1
BHR,COP12,2006,0
BGD,COP12,2006,12
BRB,COP12,2006,2
BLR,COP12,2006,7
BEL,COP12,2006,37
BLZ,COP12,2006,1
BEN,COP12,2006,2
BTN,COP12,2006,4
BOL,COP12,2006,3
BIH,COP12,2006,1
BWA,COP12,2006,11
BRA,COP12,2006,116
BRN,COP12,2006,0
BGR,COP12,2006,2
BFA,COP12,2006,6
BDI,COP12,2006,5
CPV,COP12,2006,4
KHM,COP12,2006,2
CMR,COP12,2006,2
CAN,COP12,2006,55
CAF,COP12,2006,4
TCD,COP12,2006,1
CHL,COP12,2006,8
CHN,COP12,2006,34
COL,COP12,2006,7
COM,COP12,2006,2
COG,COP12,2006,10
COK,COP12,2006,5
CRI,COP12,2006,4
CIV,COP12,2006,4
HRV,COP12,2006,7
CUB,COP12,2006,3
CYP,COP12,2006,2
CZE,COP12,2006,12
ZAR,COP12,2006,12
DNK,COP12,2006,41
DJI,COP12,2006,3
DMA,COP12,2006,2
DOM,COP12,2006,3
ECU,COP12,2006,4
EGY,COP12,2006,13
SLV,COP12,2006,1
GNQ,COP12,2006,0
ERI,COP12,2006,1
EST,COP12,2006,6
ETH,COP12,2006,3
FJI,COP12,2006,2
FIN,COP12,2006,67
FRA,COP12,2006,38
GAB,COP12,2006,12
GMB,COP12,2006,5
GEO,COP12,2006,3
